Subcategory,ID,Question,"Main Score
(1 if its part of the score; 0 if is not)",Responses ,Calculate Score (1-Biosecurity/0-risk),Risk Factor -Transmission Pathway,"Risk Factor Classification: Introduction, spread within and release diseases",Recommended Biosecurity Measure,COMMENTS
Facility General information ,Facility_Name, Facility name ,0,Open question,,,,,
Facility General information ,Location,Location (Country and municipality) ,0,Open question,,,,,
Facility General information ,Latitude_and_Longitude,Latitude and Longitude,0,Open question,,,,,
Facility General information ,Respondent_name, Name of respondent,0,Open question,,,,,
Facility General information ,Email,Email adress,0,Open question,,,,,
Facility General information ,respondent_role,What is the respondent’s role on the facility? (Select all that apply),0,Owner; Manager; Worker; Veterinarian; Aquatic animal health professional; Other,,,,,
Facility General information ,Respondent_s_Gender,Respondent's Gender,0,Female; male; Gender variant/non-conforming; prefer not answer,,,,,
Facility General information ,Respondent_education,Respondent education level,0,None or some primary school; primary school; Secondary/ high school; Vocational training; technical college; univeristy; Post-graduate,,,,,
Facility General information ,Respondent_experience,Respondent year of experience in aquaculture,0,Less than 2 years; Between 2 to 5 years; Between 5 to 10 years; More than 10 years,,,,,NEW
Facility General information ,Years_operation, How long has the facility been in operation?,0,Less than 2 years; Between 2 to 5 years; Between 5 to 10 years; More than 10 years,,,,,
Facility General information ,Type_production, What is the type of production in the facility? (Select all that apply),0,Hatchery; Broodstock ; Frying; Grow-out; Whole Cycle; Wildlife breeding establishment ,,,,,
Facility General information ,Production_system,What the production system does the facility use? (Select all that apply),0,Earthen Ponds; Concrete Ponds; Flow-through tanks; Aquaponics thanks/raceways; Raceways; Cages; Recirculatory Aquaculture System (RAS); In-Pond Raceway Systems-IPRS,,,,,
Facility General information ,Based,Where is the facility located? (Select all that apply),0,"On land; Water bodies (rivers, lakes); Dam (reservoirs); Sea ",,,,,
Facility General information ,Operated_outdoor,"If on land, does the facility have any part of its production conducted outdoors?",0,Yes;No,,,,,
Facility General information ,Which_species_are_cultured_in_,Which species are cultured in this facility? (Select all that apply),0,Tilapia;Catfish;Carp;Salmon;Trout;Shrimp;Other,,,,,
Facility General information ,Please_list_any_other_species_,Please list any other species cultured in the facility that are not mentioned in previous question,,Open question,,,,,
Facility General information ,Market,What is the main market of the Aquatic Animals?,0,Own consumption; Local market; Regional market; National market; Export ,,,,,
Facility General information ,Type_retails,Type of retail (s) (Select all the possible options),0,Larger stores; Own outlets; Middlemen; Wholesales; Restaurants (Direct sales); Live animals markets; Regional/locals markets; production farm,,,,,
1. Risk Factors related to environment and surrounding areas / External,_1_1,Are there any active aquatic animal production facilities within a 10 km radius of this facility? ,1,Yes,0,The presence of aquatic animal production facilities within a 10 km radius of the farm increases the risk of disease transmission between sites,Introduction and release,"Cages: assess the feasibility of increasing the distance between sites. Alternatively, coordinate production and hasvest cycles by implementing all-in/all-out system and synchronized fallowing period.
Land facilities: Assess the potential disease transmision patways and implement mitigation measures, speciffically addressing the identyed risk pathways such as common routes and water sources",
,,,, No,1,,,,
,,,,Do not know,0,The lack of knowledge regarging nerby aquatic animals production facilities leads to an underestimation of the risk of disease transmision between sites ,Introduction and release,"Identify all existing aquatic animal production sites within 10 km radious the facility. If any are present, assess the potencial pathways to intruction of diseases and implement measures as restrictions to avoid free acces of persons, animals and vehicles, water source identification, monitoring and treatment.",
1. Risk Factors related to environment and surrounding areas / External,_1_2," If yes, how Many",0,Open question,,,,,
1. Risk Factors related to environment and surrounding areas / External,_1_3,Are the facilities boundaries clearly marked with signs?,1,Yes ,1,,,,
,,,,No,0,"Introduction of diseases via unrestricted movement of people, equipment and vehicles, and uncontroled acces to the animals and production areas",Introduction and release,"To have clear bounderies that visibly mark the facility's perimeter. For cage production, use buoys, demarcation lines or navigation markers to vizually identiy the production area and enrure it remains withion approved zones. For land-based facilities, boundaries should be defined using fences, walls, trenches or any other physical markers to clearly separate the property from the surrounding area",
1. Risk Factors related to environment and surrounding areas / External,_1_4,Are the different production areas clearly marked with signs?,1,Yes,1,,,,deberiamos mover esta pregunta a Medidas Internas?
,,,,No,0,Disease spread between production zones,Spread within,"Clearly label each production area with its name and specific acces restictions or entrance protocols. Additionally, implement a directional flow of people moving from lower-risk to higher-risk areas (e.g.,  from the hatchery to firgerlings units, and finally to grow-out ponds).",
1. Risk Factors related to environment and surrounding areas / External,_1_5,Does the facility have a sanitaty system including handwashing and disinfection footwear at the entrance?,1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens through contaminated clothing, footwear, and hands of visitors entering the facility",Introduction,"Install footbaths and hand-washing stations at all facility entry points. these stations must allow personnel and visitors to properly clean and disinfect their hands and footwear. They should be constructed from non- porous materials resistant to corrosive desinfectants, such as plastic, concrete or alumnium. These units may be custom-built or artisanal, as long as they facilitate effective disfection protocols adapated to the volume of people at the property
 When necessary and feasible, providing site-specific boots or shoe covers for exclusive use whitin the facility can further decrease the risk of patogen entry.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_1,Does the facility introduce aquatic animals?,1,Yes,0,Introduction of pathogens via the movement of live animals at all stages,Introduction,Minimize the intrroduction of live animals at all stages as much as possible. when introductions are necessary implement mitigation measures such as diagnostic testing and mandatory quaratine.  Animals must only be sourced from verified and trsuted origins qith a proven health status.,
,,,,No,1,,,,
